SMITH,10981
JOHNSON,8008
WILLIAMS,6852
JONES,6309
BROWN,6067
MILLER,4845
DAVIS,4804
WILSON,3576
ANDERSON,3279
MOORE,3214
TAYLOR,3208
MARTIN,3068
THOMAS,3049
WHITE,2971
THOMPSON,2945
JACKSON,2888
HARRIS,2669
CLARK,2458
WALKER,2269
LEWIS,2238
ROBINSON,2201
HALL,2146
ALLEN,2078
YOUNG,2050
KING,2000
LEE,1989
HILL,1972
WRIGHT,1969
GREEN,1917
ADAMS,1903
BAKER,1880
SCOTT,1806
CAMPBELL,1732
NELSON,1707
ROBERTS,1699
MITCHELL,1664
PHILLIPS,1641
CARTER,1625
RODRIGUEZ,1584
TURNER,1581
EVANS,1557
PARKER,1490
EDWARDS,1474
COLLINS,1451
MORRIS,1446
STEWART,1431
GARCIA,1405
MURPHY,1399
COOK,1353
ROGERS,1338
MARTINEZ,1322
BAILEY,1267
MORGAN,1267
REED,1232
COX,1231
WARD,1201
PETERSON,1176
COOPER,1170
BELL,1155
GRAY,1150
BROOKS,1128
BENNETT,1113
WOOD,1112
WATSON,1109
RICHARDSON,1105
HOWARD,1101
KELLY,1090
HUGHES,1072
JENKINS,1071
SULLIVAN,1068
MYERS,1054
PRICE,1028
BUTLER,1027
PERRY,1025
LONG,1015
FOSTER,995
LOPEZ,993
HERNANDEZ,990
SANDERS,985
ROSS,984
GONZALEZ,984
BARNES,979
POWELL,970
COLEMAN,965
RUSSELL,962
PATTERSON,956
HENDERSON,940
JAMES,940
SIMMONS,907
GRAHAM,901
HAYES,899
COLE,896
REYNOLDS,896
GIBSON,895
JORDAN,881
FISHER,880
PEREZ,880
WEST,875
GRIFFIN,872
WALLACE,871
