SMITH,804
JOHNSON,654
WILLIAMS,577
JONES,542
BROWN,479
DAVIS,410
MILLER,304
JACKSON,275
TAYLOR,265
THOMAS,256
MOORE,253
WILSON,251
HARRIS,246
ANDERSON,227
WHITE,227
MARTIN,213
THOMPSON,212
RODRIGUEZ,203
ALLEN,186
LEWIS,185
HALL,183
GARCIA,176
MARTINEZ,172
CLARK,172
ROBINSON,170
WALKER,169
LEE,156
WRIGHT,155
HILL,152
HERNANDEZ,150
GREEN,147
ADAMS,144
NELSON,140
KING,138
CARTER,137
SCOTT,132
YOUNG,132
CAMPBELL,129
MITCHELL,128
EVANS,128
TURNER,128
ROGERS,118
COLLINS,117
PARKER,116
BAKER,115
GONZALEZ,114
LOPEZ,111
PHILLIPS,111
PEREZ,103
ROBERTS,102
COX,98
RIVERA,98
BROOKS,97
JAMES,97
COOK,96
HOWARD,95
MORRIS,93
STEWART,93
SANCHEZ,92
COLEMAN,92
TORRES,90
BELL,90
EDWARDS,89
GRAY,88
MORGAN,88
REED,84
PRICE,83
COOPER,83
BARNES,83
BRYANT,81
WATSON,81
SANDERS,81
RAMIREZ,80
BAILEY,79
MURPHY,78
WARD,78
KELLY,77
SIMMONS,77
PATTERSON,77
RUSSELL,76
HICKS,76
RICHARDSON,76
HAYES,75
GIBSON,74
JENKINS,74
HUGHES,74
WOOD,73
FORD,72
FOSTER,72
MYERS,72
FLORES,72
ROSS,72
NGUYEN,72
WOODS,70
REYNOLDS,70
FREEMAN,70
ALEXANDER,70
ELLIS,70
HENDERSON,69
JORDAN,69
