SMITH,3831
JOHNSON,3044
WILLIAMS,2847
JONES,2535
BROWN,2331
DAVIS,1923
MILLER,1590
WILSON,1278
JACKSON,1256
TAYLOR,1248
THOMAS,1227
MOORE,1173
WHITE,1171
ANDERSON,1078
HARRIS,1073
MARTIN,1017
THOMPSON,1015
ROBINSON,948
WALKER,881
CLARK,874
LEWIS,858
ALLEN,807
HALL,807
KING,774
YOUNG,736
WRIGHT,714
RODRIGUEZ,705
LEE,701
ADAMS,696
SCOTT,694
GREEN,681
HILL,675
GARCIA,662
BAKER,654
CARTER,645
MARTINEZ,622
NELSON,599
MITCHELL,591
CAMPBELL,586
ROBERTS,582
TURNER,567
PHILLIPS,565
EDWARDS,556
EVANS,553
COLLINS,545
STEWART,521
PARKER,514
LOPEZ,510
ROGERS,508
MORRIS,491
BELL,479
MURPHY,465
REED,464
HERNANDEZ,458
BROOKS,445
COOPER,442
COX,433
COOK,432
HOWARD,428
MORGAN,425
BAILEY,423
WARD,422
WATSON,418
GONZALEZ,406
BENNETT,403
RICHARDSON,396
SANDERS,393
GRAY,392
PEREZ,390
BUTLER,389
WASHINGTON,387
KELLY,387
RIVERA,380
PERRY,373
SIMMONS,372
COLEMAN,371
JENKINS,369
MYERS,363
BARNES,360
POWELL,359
PRICE,359
ROSS,359
HENDERSON,356
ALEXANDER,356
HUGHES,355
JAMES,352
PETERSON,352
SULLIVAN,349
LONG,348
GRIFFIN,336
HAMILTON,332
SANCHEZ,331
WOODS,331
PATTERSON,329
GRAHAM,329
GIBSON,325
RUSSELL,325
WEST,322
BRYANT,321
WOOD,321
