MICHAEL,SMITH,19
MICHAEL,JOHNSON,18
JAMES,WILLIAMS,16
ROBERT,SMITH,15
D,SMITH,14
J,SMITH,14
D,JOHNSON,14
M,JONES,14
DAVID,WILLIAMS,14
MICHAEL,WILLIAMS,13
ROBERT,JOHNSON,13
JAMES,JONES,13
RICHARD,SMITH,13
R,JONES,13
MICHAEL,DAVIS,12
R,SMITH,12
T,JOHNSON,12
MICHAEL,MILLER,11
MICHAEL,BROWN,11
A,JONES,11
MICHAEL,THOMPSON,11
DAVID,JONES,11
J,JONES,11
C,JONES,11
JAMES,BROWN,11
A,DAVIS,11
C,JOHNSON,10
DAVID,JOHNSON,10
C,DAVIS,10
J,RODRIGUEZ,10
J,JOHNSON,10
A,BROWN,10
JOHN,JONES,10
M,JOHNSON,10
M,SMITH,10
T,WILLIAMS,10
S,JONES,9
JAMES,JOHNSON,9
S,DAVIS,9
RONALD,SMITH,9
RICHARD,WILLIAMS,9
MICHAEL,WILSON,9
A,SMITH,9
BRIAN,SMITH,9
D,JONES,9
L,SMITH,9
JOHN,SMITH,9
ROBERT,WILLIAMS,9
CHARLES,JOHNSON,9
JAMES,SMITH,9
C,SMITH,8
DAVID,SMITH,8
JEFFREY,MILLER,8
L,WALKER,8
L,WILLIAMS,8
C,THOMAS,8
K,JOHNSON,8
JOSE,RODRIGUEZ,8
JUAN,HERNANDEZ,8
CHRISTOPHE,DAVIS,8
M,WILLIAMS,8
WILLIAM,SMITH,8
JASON,MARTIN,8
JOHN,WILLIAMS,8
STEVEN,SMITH,8
M,BROWN,7
JAMES,MARTIN,7
DAVID,LEE,7
S,WILLIAMS,7
DAVID,BROWN,7
DAVID,HALL,7
JAMES,DAVIS,7
ROBERT,JACKSON,7
S,SMITH,7
ROBERT,DAVIS,7
JAMES,HILL,7
LARRY,WILLIAMS,7
STEVEN,JOHNSON,7
A,TAYLOR,7
R,JOHNSON,7
J,TAYLOR,7
A,WILLIAMS,7
B,SMITH,7
J,HALL,7
JOSE,MARTINEZ,7
MICHAEL,MOORE,7
D,DAVIS,7
D,BROWN,7
JOSE,HERNANDEZ,7
J,JACKSON,7
J,WILLIAMS,7
MICHAEL,JONES,7
MICHAEL,HILL,7
JOHN,MARTINEZ,7
MICHAEL,LEWIS,7
MICHAEL,HARRIS,7
MICHAEL,MARTIN,7
JAMES,TAYLOR,7
C,WILLIAMS,7
JEFFREY,BROWN,7
