JAMES,SMITH,356
ROBERT,SMITH,348
WILLIAM,SMITH,278
JAMES,WILLIAMS,249
JAMES,JOHNSON,247
ROBERT,JOHNSON,241
JOHN,SMITH,231
ROBERT,JONES,218
MARY,SMITH,217
JAMES,BROWN,214
CHARLES,SMITH,209
ROBERT,MILLER,191
JAMES,JONES,186
ROBERT,WILLIAMS,184
ROBERT,BROWN,182
WILLIAM,BROWN,180
JOHN,WILLIAMS,175
JAMES,DAVIS,157
MARY,JOHNSON,156
WILLIAM,JOHNSON,153
DONALD,SMITH,148
MARY,JONES,147
WILLIAM,JONES,147
JAMES,MOORE,142
RICHARD,SMITH,138
BETTY,SMITH,137
DOROTHY,SMITH,135
JOHN,JOHNSON,135
CHARLES,JOHNSON,129
WILLIAM,MILLER,128
JAMES,MILLER,124
JAMES,WILSON,124
CHARLES,WILLIAMS,123
MARY,WILLIAMS,122
ROBERT,DAVIS,122
JOHN,MILLER,118
JOHN,JONES,116
ROBERT,ANDERSON,115
JOHN,BROWN,113
WILLIAM,DAVIS,111
DONALD,JOHNSON,109
ROBERT,WILSON,109
MARY,DAVIS,108
GEORGE,SMITH,106
MARY,MILLER,106
JAMES,THOMPSON,105
MARY,BROWN,104
JAMES,JACKSON,102
ROBERT,MOORE,102
CHARLES,BROWN,102
JAMES,HARRIS,101
RICHARD,JOHNSON,100
JAMES,WHITE,98
JAMES,ANDERSON,98
JAMES,THOMAS,97
JAMES,TAYLOR,97
ROBERT,THOMPSON,97
CHARLES,JONES,97
JAMES,MARTIN,97
WILLIE,WILLIAMS,96
ROBERT,MARTIN,96
CHARLES,MILLER,95
BETTY,JOHNSON,95
JOHN,DAVIS,95
ROBERT,TAYLOR,95
DONALD,MILLER,94
THOMAS,SMITH,93
DOROTHY,JOHNSON,93
ROBERT,CLARK,93
GEORGE,BROWN,92
GEORGE,JOHNSON,92
WILLIAM,TAYLOR,91
RICHARD,MILLER,90
CHARLES,DAVIS,90
JAMES,HALL,90
DOROTHY,WILLIAMS,89
WILLIAM,WILSON,88
ROBERT,JACKSON,88
JOHN,THOMAS,85
JAMES,WALKER,85
J,SMITH,84
WILLIAM,WILLIAMS,84
EDWARD,SMITH,83
ROBERT,YOUNG,83
ROBERT,LEE,83
WILLIE,JOHNSON,82
JAMES,ALLEN,82
JOHN,TAYLOR,82
JOSEPH,SMITH,81
WILLIAM,MOORE,81
BETTY,JONES,80
WILLIAM,MARTIN,80
BETTY,BROWN,79
JAMES,KING,79
WILLIAM,THOMPSON,79
ROBERT,WHITE,79
JOHN,ANDERSON,79
WILLIAM,ANDERSON,78
JAMES,LEWIS,78
CHARLES,WILSON,78
