SMITH,2131
JOHNSON,1656
WILLIAMS,1562
JONES,1422
BROWN,1298
DAVIS,1007
MILLER,914
WILSON,755
JACKSON,720
TAYLOR,670
MOORE,667
THOMAS,648
WHITE,609
ANDERSON,606
HARRIS,601
MARTIN,597
THOMPSON,560
ROBINSON,511
RODRIGUEZ,496
LEWIS,494
CLARK,485
WALKER,481
MARTINEZ,474
ALLEN,462
HALL,449
YOUNG,448
GARCIA,441
KING,426
WRIGHT,417
HILL,413
LEE,405
BAKER,401
GREEN,395
SCOTT,392
MITCHELL,388
ADAMS,365
CARTER,363
NELSON,335
HERNANDEZ,334
CAMPBELL,329
EVANS,326
STEWART,325
TURNER,313
PARKER,309
LOPEZ,305
RIVERA,302
MORRIS,301
PHILLIPS,299
PEREZ,298
EDWARDS,298
ROBERTS,297
COLLINS,285
GONZALEZ,284
COOPER,280
ROGERS,272
REED,267
MURPHY,260
BELL,248
MORGAN,246
COOK,243
WARD,242
SANDERS,241
BAILEY,239
JENKINS,235
BROOKS,235
GRAY,229
SANCHEZ,222
HOWARD,220
FOSTER,218
COX,217
BARNES,212
RICHARDSON,210
JAMES,209
BRYANT,208
WATSON,208
BENNETT,206
PETERSON,205
HUGHES,205
PERRY,203
PRICE,202
RUSSELL,201
HENDERSON,201
BUTLER,201
WOOD,200
JORDAN,199
COLEMAN,199
POWELL,199
TORRES,197
SIMMONS,195
RAMIREZ,191
KELLY,189
PATTERSON,188
ORTIZ,188
WASHINGTON,188
REYNOLDS,186
GRIFFIN,185
LONG,184
WALLACE,181
MYERS,179
OWENS,177
